X,Y,NAME,WEB_URL,RELIGION,ADDRESS,PLACE_OF_WORSHIP,IS_PLACE_OF_WORSHIP,MAR_ID,GIS_ID,XCOORD,YCOORD,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID
-8573785.3926048,4715367.91713457,ARK FOUNDATION CHURCH,<Null>,CHRISTIAN,5421 5TH ST NW,CHURCHES,1,,PlacesofWorshipPt_488,398299.22,143118.78,,{6E05F9D3-BA11-4293-B72E-02176CACED34},,,72
-8575599.86500362,4715360.01233156,SIXTH PRESBYTERIAN CHURCH,,CHRISTIAN,5413 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_487,396886.43,143113.08,,{70E6FDB4-0219-43B3-B19B-7F95C3E56389},,,73
-8572071.73337051,4715303.38074843,DOMINION CHURCH OF WASHINGTON DC,,CHRISTIAN,5335 1ST PL NE,CHURCHES,1,,PlacesofWorshipPt_581,399633.51,143068.56,,{6B206B05-3781-4A09-8403-027A434110F0},,,74
-8575585.28070227,4715275.61712507,BUDDHIST CONGREGATIONAL CHURCH,www.GIACHOANGTEMPLE.COM,CHRISTIAN,5401 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_404,396897.76,143047.63,,{6ABA07DC-EA80-4C82-8F80-AF4B18DCB9E3},,,75
-8572572.26378227,4715253.80080329,PLYMOUTH CONGREGATIONAL CHURCH,PLYMOUTH-UCC.ORG,CHRISTIAN,5301 N CAPITOL ST NE,CHURCHES,1,,PlacesofWorshipPt_398,399243.78,143030.14,,{84DA7117-CBEF-4810-AAFD-CB7CCE8416B3},,,76
-8574118.5272392,4715242.28944247,Christ Memorial Baptist,,CHRISTIAN,702 JEFFERSON STREET NW,CHURCHES,1,250210,PlacesofWorshipPt_654,398039.81,143021.42,,{A1BE5DC3-CAC8-4F45-A4F5-C0CEC8E52E20},,,77
-8575358.27660928,4715234.09047321,STAR-BETHLEHEM CHR-GOD,,CHRISTIAN,5331 COLORADO AVE NW,CHURCHES,1,,PlacesofWorshipPt_489,397074.5,143015.36,,{4F6C4346-AB7E-494B-98E1-B70A090220A7},,,78
-8580695.40065921,4715226.07223224,ST MARY ARMENIAN APOSTOLIC CHR,STMARYAAC.ORG,CHRISTIAN,4125 FESSENDEN ST NW,CHURCHES,1,,PlacesofWorshipPt_415,392918.84,143011.77,,{2C388456-E528-4A02-805F-BA41A992FB00},,,79
-8572339.96868607,4715217.75205455,UNITED CHRISTIAN CHR WORLDWIDE,,CHRISTIAN,33 RIGGS RD NE,CHURCHES,1,,PlacesofWorshipPt_577,399424.65,143002.17,,{FEE0EB6A-0A2F-4C6C-8F60-57B31717640C},,,80
-8581403.89285013,4715072.1503735,Washington International Church,http://internationalchurch.org/,CHRISTIAN,4420 RIVER ROAD NW,CHURCHES,1,267907,PlacesofWorshipPt_641,392367.07,142892.92,,{B4D7A5BF-2142-467B-945A-B5C20274892B},,,81
-8574943.5476551,4715072.60651613,GREATER NEW ST PAUL BAPTIST,,CHRISTIAN,1300 INGRAHAM ST NW,CHURCHES,1,,PlacesofWorshipPt_412,397397.38,142890.02,,{E68205A5-58C7-4C1B-9E8B-C5F9079373CF},,,82
-8575482.70956221,4715056.75933251,FIRST SUPERET BRANCH CHURCH,SUPERETLIGHTCHURCH.COM,CHRISTIAN,1420 INGRAHAM ST NW,CHURCHES,1,,PlacesofWorshipPt_480,396977.56,142877.88,,{AC451E43-6249-44FF-9DD3-494D558E09B4},,,83
-8579427.61865249,4715048.58425676,ST PAUL'S LUTHERAN CHURCH,STPAULSLUTHERANDC.360UNITE.COM,CHRISTIAN,4900 CONNECTICUT AVE NW,CHURCHES,1,,PlacesofWorshipPt_150,393905.87,142873.31,,{C68AF585-29AB-4821-9D87-38A752657D66},,,84
-8574642.7128723,4715015.44697746,NEW HOPE CME CHURCH,NEWHOPECMEC.COM,CHRISTIAN,5219 GEORGIA AVE NW,CHURCHES,1,,PlacesofWorshipPt_453,397631.61,142845.62,,{0F2F741D-B173-4757-B3FB-9309802760D3},,,85
-8578209.21059921,4714932.68824019,OBLATE SISTERS-THE MOST HOLY,,CHRISTIAN,2907 ELLICOTT TER NW,CHURCHES,1,,PlacesofWorshipPt_147,394854.52,142782.76,,{C92B9DD2-8551-48AF-83C6-717BE37CB4F9},,,86
-8573501.55254174,4714926.46610947,GETHSEMANE BAPTIST CHURCH,GETHSEMANEBAPTISTCHURCH.ORG,CHRISTIAN,5119 4TH ST NW,CHURCHES,1,,PlacesofWorshipPt_428,398520.16,142776.4,,{9BFDC7EC-2C84-4DBE-A00D-8B8FA1FD5112},,,87
-8575281.79060733,4714897.90279649,JEHOVAH'S WITNESS NORTH UNIT,,CHRISTIAN,5113 14TH ST NW,CHURCHES,1,,PlacesofWorshipPt_444,397133.96,142754.63,,{ED1F6F1D-49AF-4595-954C-E9D6E07E6404},,,88
-8575606.19258141,4714826.08387703,BEREAN ETHIOPIAN ADVENTIST GRP,BEREANETHIOPIANDC.ADVENTISTCHURCH.ORG,CHRISTIAN,5101 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_587,396881.34,142699.03,,{920AA15C-EA89-49A0-9D2A-519FCBB478D5},,,89
-8575606.19258141,4714826.08387703,IGLESIA MISIONERA CUERPO DE,CUEPRODECRISTO.ORG,CHRISTIAN,5101 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_586,396881.34,142699.03,,{D35C8893-7B5F-4567-BD9B-6FF965B4374F},,,90
-8575606.19258141,4714826.08387703,CHRIST LUTHERAN CHURCH,CHRISTLUTHERANDC.ORG,CHRISTIAN,5101 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_436,396881.34,142699.03,,{31CD19C3-0BF0-4452-B3F2-1D9F285C5816},,,91
-8575289.95561866,4714818.86691725,MT ZION BAPTIST CHURCH,,CHRISTIAN,5101 14TH ST NW,CHURCHES,1,,PlacesofWorshipPt_401,397127.58,142693.34,,{0733973C-14A4-41EB-871A-C5910183513D},,,92
-8575403.57110278,4714812.8029649,ST LUKE BAPTIST CHURCH,,CHRISTIAN,1415 GALLATIN ST NW,CHURCHES,1,,PlacesofWorshipPt_460,397039.11,142688.67,,{0CAF0656-F11F-40AC-8D4D-222FF80F6CA1},,,93
-8574423.23646258,4714760.11324804,MIRACLE TEMPLE OF GOD & CHRIST,,CHRISTIAN,822 GALLATIN ST NW,CHURCHES,1,,PlacesofWorshipPt_490,397802.45,142647.56,,{D6052008-EA61-4956-BD53-50F9C51F6AFD},,,94
-8581433.89818851,4714703.6479944,ZEN BUDDHIST CTR OF WASHINGTON,,CHRISTIAN,4705 45TH ST NW,CHURCHES,1,,PlacesofWorshipPt_561,392343.43,142607.17,,{2A9DEFF4-6CDF-4336-82ED-89FA2F35D2D6},,,95
-8575712.40857263,4714623.60670764,Nipponzan Myohoji,,BUDDHISM,4900 16TH STREET NW,TEMPLES,1,258782,PlacesofWorshipPt_643,396798.57,142542.04,,{291B4B52-93C3-4E83-BDDA-E332475C7D24},,,96
-8575136.36055877,4714600.65274669,Macedonia Church of God in Christ,MACEDONIACOGICDC.ORG,CHRISTIAN,1320 FARRAGUT STREET NW,CHURCHES,1,255088,PlacesofWorshipPt_658,397247.12,142524.07,,{12F58C2E-0366-4B55-AD40-0C4596E88BF4},,,97
-8578721.39884503,4714542.23563361,WASHINGTON ETHIOPIAN SEVENTH,ETHIOPIAN22.ADVENTISTCHURCHCONNECT.OR,CHRISTIAN,3150 CHESAPEAKE ST NW,CHURCHES,1,,PlacesofWorshipPt_149,394455.49,142480.23,,{2E10D319-D4DC-4671-9E0F-AE83F198F821},,,98
-8578721.39884503,4714542.23563361,CAPITAL MEMORIAL SEVENTH-DAY,CAPITALMEMORIAL.ORG,CHRISTIAN,3150 CHESAPEAKE ST NW,CHURCHES,1,,PlacesofWorshipPt_185,394455.49,142480.23,,{94282140-665F-4664-A981-5F2F83EF43F4},,,99
-8575806.44101288,4714533.37062195,Zion Baptist Church,http://www.ziondc.org/,CHRISTIAN,4850 BLAGDEN AVENUE NW,CHURCHES,1,258775,PlacesofWorshipPt_644,396725.32,142472.09,,{E06F54B2-3239-44AF-A9E8-D74A1A439B7C},,,100
-8575278.4461491,4714519.56897498,SAINT PAUL AFRICAN METHODIST EPISCOPAL CHURCH,,CHRISTIAN,4901 14TH STREET NORTHWEST,CHURCHES,1,,PlacesofWorshipPt_730,397136.46875,142461.234375,,{27D09D59-D6C7-4732-8C63-5D97A928D4F3},,,101
-8574681.7028735,4714503.00928595,ST JOSEPH BAPTIST CHURCH,,CHRISTIAN,1203 EMERSON ST NW,CHURCHES,1,,PlacesofWorshipPt_459,397601.13,142448.23,,{55304FEA-79C3-4C16-AF92-BE4FB97DC12A},,,102
-8574073.91171507,4714452.64278431,SHAMMAH MINISTRIES INC,,CHRISTIAN,4836 7TH ST NW,CHURCHES,1,,PlacesofWorshipPt_496,398074.4,142409.04,,{B9944D0A-BCBF-4C49-8434-609E85A6CD1C},,,103
-8574576.18484266,4714390.30517135,Faith Assembly Of Christ,FAITHASSEMBLYOFCHRIST.COM,CHRISTIAN,4821 GEORGIA AVENUE NW,CHURCHES,1,284969,PlacesofWorshipPt_642,397683.27,142360.8,,{F579A2EA-C73A-4FB3-A583-606BBF4587E0},,,104
-8570358.4449932,4714375.11583541,KABOD CHURCH,KABODCHURCH.ORG,CHRISTIAN,4915 SARGENT RD NE,CHURCHES,1,,PlacesofWorshipPt_599,400967.61,142348.74,,{7369BAF7-FC1B-4669-B12F-9EE14E49BBEA},,,105
-8570358.4449932,4714375.11583541,DEEPER LIFE BIBLE CHURCH,DEEPERLIFEDC.ORG,CHRISTIAN,4915 SARGENT RD NE,CHURCHES,1,,PlacesofWorshipPt_367,400967.61,142348.74,,{5BF27C8A-C44A-4493-8B08-7A217ED88DEE},,,106
-8580634.62241126,4714364.60979787,CITIZEN HEIGHTS CHURCH,CITIZENHEIGHTS.COM,CHRISTIAN,4100 RIVER RD NW,CHURCHES,1,,PlacesofWorshipPt_420,392965.57,142343.66,,{174AA228-7989-4AF8-94E1-1D71941B14E9},,,107
